index,amine,aldehyde,topology,aldehyde_peaks,aldehyde_amplitudes,imine_peaks,imine_amplitudes,aldehyde?,imine?
27,NCCCN(CCCN)CCCN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,FOUR_PLUS_SIX,,[],"[8.153041046964981, 8.135314701748017, 7.961107515995096, 7.940936157644757, 7.836411846193004, 7.388363189502153, 7.382250656668717, 7.1774808067486155, 7.175647046898584, 7.173202033765209, 7.167700754215117, 7.162810727948369, 7.1603657148149935, 7.02833500561278, 6.891414270143816, 6.8040050506256815]","[222636.5078125, 803004.765625, 1653960.1640625, 40998.9140625, 20370.859375, 10283.359375, 422285.859375, 10195.3515625, 10420.359375, 21482.84375, 20574.5859375, 52940.1328125, 10370.2734375, 21769.703125, 8070591.1953125, 10782.9609375]",false,true
28,NCCCN(CCCN)CCCN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,EIGHT_PLUS_TWELVE,[9.89022287822746],[178751.1328125],"[8.286294262733884, 8.258787864983423, 8.211721362165965, 8.204997576049186, 8.09313822519731, 8.056463028196694, 7.84252437902644, 7.836411846193004, 7.834578086342972, 7.821741767392757, 7.816240487842665, 7.72332998877444, 7.477606168870317, 7.386529429652121, 7.379805643535342, 7.376138123835281, 7.373081857418564, 7.121245504681005, 7.09985163976398, 6.848626540309764, 6.843736514043016, 6.8278439286760815, 6.825398915542708, 6.822342649125989, 6.815007609725868, 6.805227557192369, 6.796058757942216, 6.783833692275344, 6.569895043105088]","[234892.7109375, 1550640.0703125, 344368.765625, 10137.0625, 1673884.3046875, 76894.5, 208314.171875, 31273.828125, 10105.8671875, 329875.03125, 10391.65625, 6604799.8203125, 10065848.09375, 20837.1484375, 31465.75, 43468.328125, 53992.9296875, 32621.53125, 54894.53125, 51679.6875, 189567.25, 20561.3984375, 10327.9765625, 110880.609375, 10222.7109375, 493069.6171875, 10226.5703125, 419279.09375, 2262039.8359375]",true,true
29,NCCCN(CCCN)CCCN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,TWENTY_PLUS_THIRTY,[9.889611624944116],[553675.6875],"[8.184214964415505, 8.020399084479422, 7.845580645443157, 7.818074247692696, 7.676263485956982, 7.6652609268567975, 7.662815913723424, 7.638977035673024, 7.450099771119856, 7.390196949352184, 7.347409219518132, 7.191539632265517, 7.190317125698829, 7.187260859282112, 7.186038352715425, 7.18359333958205, 7.179925819881989, 7.057675163213272, 6.947649572211425, 6.906084348944061, 6.5631712569883085]","[98274.2734375, 2129993.0078125, 1330456.625, 10052.6953125, 788431.71875, 30931.75, 20835.2578125, 10314.4140625, 10691404.3203125, 31611.234375, 10142.2890625, 10437.234375, 10528.109375, 10019.2421875, 20857.1171875, 20096.109375, 41614.5390625, 1668286.03125, 8939967.765625, 20692.859375, 4650618.8671875]",true,true
30,Nc1nc(N)nc(N)n1,O=Cc1cc2sc(C=O)cc2s1,FOUR_PLUS_SIX,"[9.923230555528013, 9.89878042419427, 9.865161493610373]","[20316.0625, 6110841.5, 10154.5703125]","[7.888979628560552, 7.836411846193004, 7.640199542239712, 7.6383657823896804, 7.637143275822993, 7.631641996272901, 7.626751970006152, 7.616360664189312, 7.577240454055321, 7.575406694205292, 7.568682908088512, 7.565015388388449, 6.967820930561764, 6.96354215757836, 6.962319651011672, 6.954373358328205, 6.9464270656447376]","[20390.7421875, 13347995.40625, 20855.3671875, 10075.0390625, 20217.0234375, 10435.7265625, 21850.8984375, 10191.78125, 10425.6796875, 73879.609375, 52621.9296875, 32100.2421875, 54075.2109375, 10125.7421875, 41841.8046875, 214069.4453125, 10120.46875]",true,true
31,Nc1nc(N)nc(N)n1,O=Cc1cc2sc(C=O)cc2s1,EIGHT_PLUS_TWELVE,[10.030811133396485],[130734.125],"[8.27040167736695, 7.90242720079411, 7.88347834901046, 7.78812283680886, 7.685432285207137, 7.563792881821762, 7.561347868688388, 7.544232776754768, 7.45437854410326, 7.115132971847569]","[832644.140625, 131566.4453125, 183929.875, 643976.984375, 4197016.96875, 10263.296875, 65002.71875, 175204.421875, 30244.5546875, 85432.5625]",true,true
32,Nc1nc(N)nc(N)n1,O=Cc1cc2sc(C=O)cc2s1,TWENTY_PLUS_THIRTY,"[10.033218218043753, 10.031385694992181]","[10208.2421875, 20529.5390625]","[7.707135624583266, 7.690032076101939, 7.544041072993467, 7.420040346503846, 7.382779044455241, 7.38033568038648, 7.161654596232369, 7.1537136630088956]","[407993.2734375, 426312.7890625, 34237.2109375, 1607852.1171875, 32377.484375, 20348.3046875, 10889.6875, 10610.1640625]",true,true
33,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1cc2sc(C=O)cc2s1,FOUR_PLUS_SIX,"[9.93117684821148, 9.89878042419427]","[10115.5546875, 6659668.7578125]","[7.90059344094408, 7.898148427810705, 7.896314667960674, 7.836411846193004, 7.4990000337873415, 7.444598491569764, 7.360856791751692, 7.359634285185004, 7.3553555122016, 7.349242979368164]","[10176.6015625, 10015.609375, 10268.4375, 14229151.8359375, 7305764.203125, 10078.0078125, 20180.8125, 20033.7109375, 10012.71875, 123941.9296875]",true,true
34,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1cc2sc(C=O)cc2s1,EIGHT_PLUS_TWELVE,[9.889611624944115],[409359.890625],"[8.240450266483114, 7.841913125743096, 7.648145834923177, 7.057063909929928, 6.832122701659488, 6.819897635992616, 6.815007609725868, 6.797892517792247, 6.792391238242153]","[2075301.515625, 1177770.609375, 3716135.1171875, 1313203.5625, 84019.0390625, 10366.0546875, 138312.0234375, 10039.875, 21448.6953125]",true,true
35,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1cc2sc(C=O)cc2s1,TWENTY_PLUS_THIRTY,"[9.92261930224467, 9.890834131510804]","[71631.8828125, 87702.34375]","[8.288128022583916, 8.10352953101415, 7.888368375277208, 7.866974510360182, 7.826631793659505, 7.671984712973577, 7.649368341489865, 7.543621523471424, 7.493498754237249, 7.39630948218562, 7.386529429652121, 7.3828619099520605, 7.1334705703478765, 7.118189238264286, 7.112687958714194, 7.096184120063917, 7.0919053470805125, 7.0857928142470765, 6.876132938060225, 6.5485011781880615, 6.509992221337416, 6.508158461487385, 6.502657181937293]","[1844371.3203125, 1496796.71875, 56909.765625, 109866.3203125, 2763649.6484375, 4047275.09375, 10123.0234375, 74946.0703125, 7146091.578125, 64021.609375, 10575.109375, 43609.859375, 20691.8046875, 174623.2734375, 10100.921875, 162046.234375, 10135.71875, 10398.484375, 3540728.21875, 3810794.171875, 10311.5234375, 53779.8828125, 54105.65625]",true,true
36,NCCN(CCN)CCN,O=Cc1cc2sc(C=O)cc2s1,FOUR_PLUS_SIX,"[10.489862349187518, 10.404898142802761, 10.382893024602392]","[3289160.71875, 20888.9375, 3302202.75]","[7.766728971891833, 7.764895212041804, 7.73372129459128, 7.670150953123546, 7.6499795947732085, 7.39141945591887, 7.2019309380823575]","[10116.25, 54950.90625, 3639570.640625, 10378.65625, 3581309.46875, 129595.734375, 43998.859375]",true,true
37,NCCN(CCN)CCN,O=Cc1cc2sc(C=O)cc2s1,EIGHT_PLUS_TWELVE,[10.54793141110516],[224059.125],"[7.354133005634912, 7.170757020631836, 7.164033234515056, 7.157309448398276]","[10024.734375, 30990.6875, 30315.0625, 10162.3125]",true,true
38,NCCN(CCN)CCN,O=Cc1cc2sc(C=O)cc2s1,TWENTY_PLUS_THIRTY,"[10.066875077113757, 10.039368679363294, 10.013696041462865, 9.929343088361449, 9.906726716877737]","[76242.5703125, 5178136.375, 10560.3515625, 4991257.1484375, 10856.609375]","[7.954383729878316, 7.200097178232328, 7.194595898682236]","[23033792.9921875, 20315.5078125, 10118.53125]",true,true
39,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1cc2sc(C=O)cc2s1,FOUR_PLUS_SIX,[9.623954736526283],[1312285.4453125],"[7.624061246245391, 7.221517015917014, 7.219073651848252]","[2690746.703125, 142084.3515625, 20319.9921875]",true,true
40,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1cc2sc(C=O)cc2s1,EIGHT_PLUS_TWELVE,[9.870051519877121],[5266701.2421875],"[7.4990000337873415, 7.497166273937312, 7.428094652919485, 7.346186712951445, 7.209877230765825, 7.115132971847569]","[10583.8125, 10000.0390625, 11694930.625, 10085.546875, 10219.328125, 5538073.5234375]",true,true
41,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1cc2sc(C=O)cc2s1,TWENTY_PLUS_THIRTY,"[10.596831673772648, 10.563823996472093, 10.536928852004976, 10.436072060253284, 10.430570780703192, 10.401230623102698]","[10002.609375, 6526472.21875, 10579.78125, 10488.890625, 32113.890625, 6548054.28125]","[8.387151054485575, 8.34191831151815, 8.031401643579606, 8.028956630446233, 7.986780153895525, 7.966608795545188, 7.562570375255076, 7.387140682935465, 7.384695669802092, 7.3828619099520605, 7.380416896818685, 7.378583136968656, 7.373081857418564, 7.369414337718501, 7.36758057786847, 7.363301804885065, 7.18175957973202, 7.178703313315301]","[20932.171875, 6844456.09375, 10252.9375, 10674.171875, 6860130.28125, 52906.75, 7606888.671875, 10316.25, 21850.84375, 21197.375, 42224.453125, 10066.03125, 21451.484375, 21643.296875, 20638.53125, 65751.515625, 21955.03125, 10108.859375]",true,true
42,NCCCN(CCCN)CCCN,O=Cc1cc2sc(C=O)cc2s1,FOUR_PLUS_SIX,[9.886555358527398],[8299685.5625],"[7.894480908110644, 7.827243046942849, 7.343130446534728, 7.029557512179466, 6.9610971444449845, 6.937869519677928]","[41601.3984375, 17534583.234375, 41604.5625, 18549489.6328125, 165540.2265625, 10591.0]",true,true
43,NCCCN(CCCN)CCCN,O=Cc1cc2sc(C=O)cc2s1,EIGHT_PLUS_TWELVE,"[10.53754010528832, 10.52898255932151, 10.499642401721017]","[21658.25, 1048095.953125, 971561.828125]","[7.451933530969885, 7.369414337718501, 7.366969324585128, 7.362079298318378, 7.199485924948984]","[2430474.390625, 20578.0, 66012.4375, 44647.90625, 10533.765625]",true,true
44,NCCCN(CCCN)CCCN,O=Cc1cc2sc(C=O)cc2s1,TWENTY_PLUS_THIRTY,,[],"[7.3767493771186246, 7.371859350851876, 7.369414337718501, 7.366358071301784, 7.179314566598645]","[88531.625, 53844.6640625, 20515.203125, 46900.6015625, 10061.5234375]",false,true
45,Nc1nc(N)nc(N)n1,O=Cc1ccc(C=O)cc1,FOUR_PLUS_SIX,,[],"[7.867585763643525, 7.854138191409968, 7.081514041263672, 7.07601276171358, 7.063787696046708, 7.0588976697799595, 7.0527851369465235, 7.048506363963117, 7.047283857396431]","[1219125.3671875, 10909.9765625, 10065.6875, 272876.71875, 20525.4296875, 86026.4375, 84386.5859375, 20506.15625, 10285.2578125]",false,true
46,Nc1nc(N)nc(N)n1,O=Cc1ccc(C=O)cc1,EIGHT_PLUS_TWELVE,,[],"[7.782621557258768, 7.744723853691465, 7.7392225741413725, 7.727608761757844, 7.72332998877444, 7.639588288956368, 7.47821742215366, 7.476994915586973, 7.472716142603568, 7.444598491569764, 7.385306923085436, 7.381639403385373, 7.3553555122016, 7.351687992501537, 7.3498542326515075, 7.346186712951445, 6.56500501683834, 6.561337497138277]","[3316376.7421875, 42526.046875, 10219.765625, 10273.6953125, 31194.8359375, 15662101.9765625, 10083.8359375, 10039.53125, 42857.296875, 4461223.8203125, 20502.4765625, 20582.078125, 21388.109375, 10133.9140625, 53753.640625, 31407.8515625, 10037.53125, 32680.53125]",false,true
47,Nc1nc(N)nc(N)n1,O=Cc1ccc(C=O)cc1,TWENTY_PLUS_THIRTY,,[],"[7.401199508452368, 7.397531988752307, 7.393864469052245, 7.200097178232328, 7.1927621388322045, 7.182370833015364, 6.721485857374297]","[10192.625, 43773.078125, 31089.7890625, 31400.890625, 10912.6328125, 10204.9140625, 2698390.5546875]",false,true
